gpt-3.5-turbo_NullAssertCF_response,gpt-3.5-turbo_NullAssertCF_mitigation_response,gpt-3.5-turbo_NullAssertCF_inline_response,gpt-3.5-turbo_NullAssertCF_CoT_response,gpt-3.5-turbo_NullAssertCF_EXM,gpt-3.5-turbo_NullAssertCF_mitigation_EXM,gpt-3.5-turbo_NullAssertCF_inline_EXM,gpt-3.5-turbo_NullAssertCF_CoT_EXM,gpt-3.5-turbo_NullAssertCF_retrieval,gpt-3.5-turbo_NullAssertCF_mitigation_retrieval,gpt-3.5-turbo_NullAssertCF_inline_retrieval,gpt-3.5-turbo_NullAssertCF_CoT_retrieval,gpt-3.5-turbo_NullAssertCF_bleu,gpt-3.5-turbo_NullAssertCF_mitigation_bleu,gpt-3.5-turbo_NullAssertCF_inline_bleu,gpt-3.5-turbo_NullAssertCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
